subject_id,study_id,session_id,condition,success,audio_check_passed,audio_checks,comprehension_failures,cork_guess,cork_confidence,guess,confidence,collision_check,heard_sound,worker_comments,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
59a7cfeb7ff2320001ec59d9,68b823b21cc76e5d87283bc6,68b84a34ca40ebb4977ea802,SCE,True,True,1,0,4.0,31.0,4.0,23.0,"At least one, but possibly more",no,,68b84a34ca40ebb4977ea802,59a7cfeb7ff2320001ec59d9,AWAITING REVIEW,Not Applicable,2025-09-03T14:03:40.977000Z,2025-09-03T14:08:37.836000Z,,2025-09-03T14:08:38.231327Z,297.0,COHFI32D,4168,Yes,56,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67bf2c95cf70e4409f3fb705,68b823b21cc76e5d87283bc6,68b84a98d6d888c67db8cb04,SCE,True,True,1,0,2.0,28.0,2.0,14.0,"At least one, but possibly more",no,No issues at this time,68b84a98d6d888c67db8cb04,67bf2c95cf70e4409f3fb705,AWAITING REVIEW,Not Applicable,2025-09-03T14:03:27.158000Z,2025-09-03T14:08:46.631000Z,,2025-09-03T14:08:47.041484Z,320.0,COHFI32D,1357,Yes,53,Male,Asian,Korea,United States,Korea,English,No,Full-Time
62966289dc2720a7bbedb8f8,68b823b21cc76e5d87283bc6,68b84a65390d0b97d7b83b76,LCE,True,True,1,0,2.0,71.0,2.0,64.0,Exactly one,yes,,68b84a65390d0b97d7b83b76,62966289dc2720a7bbedb8f8,AWAITING REVIEW,Not Applicable,2025-09-03T14:04:17.114000Z,2025-09-03T14:08:47.536000Z,,2025-09-03T14:08:47.960700Z,271.0,COHFI32D,1055,Yes,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5e370bc58390cf6992ba7b1f,68b823b21cc76e5d87283bc6,68b84ae61199947e084e2224,SCE,True,True,1,0,2.0,61.0,2.0,66.0,"At least one, but possibly more",no,,68b84ae61199947e084e2224,5e370bc58390cf6992ba7b1f,AWAITING REVIEW,Not Applicable,2025-09-03T14:04:27.703000Z,2025-09-03T14:07:54.510000Z,,2025-09-03T14:07:55.025263Z,207.0,COHFI32D,3731,Yes,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
669f483731a6e90c5f0e341c,68b823b21cc76e5d87283bc6,68b84a5c09b5ad1449c09b09,LCE,True,True,1,0,4.0,64.0,2.0,67.0,Exactly one,yes,,68b84a5c09b5ad1449c09b09,669f483731a6e90c5f0e341c,AWAITING REVIEW,Not Applicable,2025-09-03T14:04:40.223000Z,2025-09-03T14:08:00.958000Z,,2025-09-03T14:08:01.377094Z,201.0,COHFI32D,430,Yes,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5e19b24b2bf9512392d6dd90,68b823b21cc76e5d87283bc6,68b84a6ebe48bad322ab3191,SCE,True,True,1,0,4.0,30.0,4.0,41.0,"At least one, but possibly more",no,,68b84a6ebe48bad322ab3191,5e19b24b2bf9512392d6dd90,AWAITING REVIEW,Not Applicable,2025-09-03T14:02:31.581000Z,2025-09-03T14:08:59.425000Z,,2025-09-03T14:08:59.830825Z,388.0,COHFI32D,2896,Yes,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
56a4f3772ff2cc000c079916,68b823b21cc76e5d87283bc6,68b84adc98fd132ff91e4629,SCE,True,True,1,0,2.0,47.0,2.0,50.0,"At least one, but possibly more",no,,68b84adc98fd132ff91e4629,56a4f3772ff2cc000c079916,AWAITING REVIEW,Not Applicable,2025-09-03T14:04:58.925000Z,2025-09-03T14:08:14.641000Z,,2025-09-03T14:08:15.045889Z,196.0,COHFI32D,953,Yes,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6053e01a6a8e8516ba7d47a7,68b823b21cc76e5d87283bc6,68b84a49c8519c778bd44d68,LCE,True,True,1,0,2.0,59.0,2.0,59.0,Definitely more than one,yes,Nothing- thank-you.,68b84a49c8519c778bd44d68,6053e01a6a8e8516ba7d47a7,AWAITING REVIEW,Not Applicable,2025-09-03T14:04:25.104000Z,2025-09-03T14:09:14.685000Z,,2025-09-03T14:09:15.081325Z,290.0,COHFI32D,5449,Yes,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5f3e6a07e06e71069f919082,68b823b21cc76e5d87283bc6,68b84b1e228d3721e33790ec,SCE,True,True,1,0,4.0,69.0,4.0,60.0,"At least one, but possibly more",no,,68b84b1e228d3721e33790ec,5f3e6a07e06e71069f919082,AWAITING REVIEW,Not Applicable,2025-09-03T14:05:21.932000Z,2025-09-03T14:08:39.564000Z,,2025-09-03T14:08:39.929456Z,198.0,COHFI32D,3764,Yes,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
674ca2f2b42dd96dc2f71707,68b823b21cc76e5d87283bc6,68b84b385a0cfa253a2f5451,SCE,True,True,1,0,4.0,22.0,4.0,27.0,"At least one, but possibly more",no,,68b84b385a0cfa253a2f5451,674ca2f2b42dd96dc2f71707,AWAITING REVIEW,Not Applicable,2025-09-03T14:05:52.172000Z,2025-09-03T14:08:19.134000Z,,2025-09-03T14:08:19.557157Z,147.0,COHFI32D,1080,Yes,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
