subject_id,study_id,session_id,condition,success,audio_check_passed,audio_checks,comprehension_failures,cork_guess,cork_confidence,guess,confidence,collision_check,heard_sound,response,value,timeout,failed_images,failed_audio,failed_video,worker_comments,source_file,Submission id_x,Participant id_x,Status_x,Custom study tncs accepted at_x,Started at_x,Completed at_x,Reviewed at_x,Archived at_x,Time taken_x,Completion code_x,Total approvals_x,Vision_x,Age_x,Sex_x,Ethnicity simplified_x,Country of birth_x,Country of residence_x,Nationality_x,Language_x,Student status_x,Employment status_x,Submission id_y,Participant id_y,Status_y,Custom study tncs accepted at_y,Started at_y,Completed at_y,Reviewed at_y,Archived at_y,Time taken_y,Completion code_y,Total approvals_y,Vision_y,Age_y,Sex_y,Ethnicity simplified_y,Country of birth_y,Country of residence_y,Nationality_y,Language_y,Student status_y,Employment status_y
5fd4d10b2f970406fe63ad96,68b823b21cc76e5d87283bc6,68b84b6111061a89bc18a40c,SCE,True,True,1,0,2.0,99.0,2.0,99.0,Definitely more than one,no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6460/comp-result_10117/data.txt,68b84b6111061a89bc18a40c,5fd4d10b2f970406fe63ad96,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:30.747000Z,2025-09-03T14:09:00.522000Z,,2025-09-03T14:09:00.900045Z,150.0,COHFI32D,2357,Yes,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",68b84b6111061a89bc18a40c,5fd4d10b2f970406fe63ad96,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:30.747000Z,2025-09-03T14:09:00.522000Z,,2025-09-03T14:09:00.900045Z,150.0,COHFI32D,2357,Yes,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6777f3e9760d3844217b5ea8,68b823b21cc76e5d87283bc6,68b849cf7e6e1307fdbb954d,SCE,True,True,1,0,4.0,32.0,2.0,16.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6461/comp-result_10118/data.txt,68b849cf7e6e1307fdbb954d,6777f3e9760d3844217b5ea8,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:52.415000Z,2025-09-03T14:08:53.632000Z,,2025-09-03T14:08:58.180109Z,122.0,COHFI32D,788,Yes,19,Female,White,Latvia,United Kingdom,Latvia,English,Yes,Part-Time,68b849cf7e6e1307fdbb954d,6777f3e9760d3844217b5ea8,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:52.415000Z,2025-09-03T14:08:53.632000Z,,2025-09-03T14:08:58.180109Z,122.0,COHFI32D,788,Yes,19,Female,White,Latvia,United Kingdom,Latvia,English,Yes,Part-Time
5bccf3ad1662020001fe7bbe,68b823b21cc76e5d87283bc6,68b84b988cca658654537e28,SCE,True,True,1,0,4.0,25.0,4.0,11.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6463/comp-result_10120/data.txt,68b84b988cca658654537e28,5bccf3ad1662020001fe7bbe,AWAITING REVIEW,Not Applicable,2025-09-03T14:07:37.320000Z,2025-09-03T14:09:51.115000Z,,2025-09-03T14:09:51.488417Z,134.0,COHFI32D,1418,Yes,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,68b84b988cca658654537e28,5bccf3ad1662020001fe7bbe,AWAITING REVIEW,Not Applicable,2025-09-03T14:07:37.320000Z,2025-09-03T14:09:51.115000Z,,2025-09-03T14:09:51.488417Z,134.0,COHFI32D,1418,Yes,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
59f0acf65de9b000017ed914,68b823b21cc76e5d87283bc6,68b84bc26e1c402ecc22bbea,LCE,True,True,1,0,2.0,28.0,4.0,24.0,"At least one, but possibly more",yes,"{""Q0"":""summer""}",,False,[],[],[],This was an interesting study. I tried to use my imagination to make an accurate guess.,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6464/comp-result_10121/data.txt,68b84bc26e1c402ecc22bbea,59f0acf65de9b000017ed914,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:08.647000Z,2025-09-03T14:10:41.421000Z,,2025-09-03T14:10:41.797487Z,153.0,COHFI32D,6967,Yes,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",68b84bc26e1c402ecc22bbea,59f0acf65de9b000017ed914,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:08.647000Z,2025-09-03T14:10:41.421000Z,,2025-09-03T14:10:41.797487Z,153.0,COHFI32D,6967,Yes,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62a3b97d41ae082b602e815b,68b823b21cc76e5d87283bc6,68b84bc6381c16159faaf289,SCE,True,True,1,0,2.0,57.0,4.0,30.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],"Thank you, hope my input helps!",/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6465/comp-result_10122/data.txt,68b84bc6381c16159faaf289,62a3b97d41ae082b602e815b,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:12.826000Z,2025-09-03T14:11:14.452000Z,,2025-09-03T14:11:14.851848Z,182.0,COHFI32D,3980,Yes,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,68b84bc6381c16159faaf289,62a3b97d41ae082b602e815b,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:12.826000Z,2025-09-03T14:11:14.452000Z,,2025-09-03T14:11:14.851848Z,182.0,COHFI32D,3980,Yes,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5f467b0a0d1aef037515c8c9,68b823b21cc76e5d87283bc6,68b84bea56bbfd238e7d4c4f,LCE,True,True,1,0,2.0,62.0,4.0,24.0,"At least one, but possibly more",yes,"{""Q0"":""summer""}",,False,[],[],[],my thoughts are I have no idea what you are fishing for lol,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6466/comp-result_10123/data.txt,68b84bea56bbfd238e7d4c4f,5f467b0a0d1aef037515c8c9,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:45.928000Z,2025-09-03T14:11:26.706000Z,,2025-09-03T14:11:27.085496Z,161.0,COHFI32D,6705,Yes,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,68b84bea56bbfd238e7d4c4f,5f467b0a0d1aef037515c8c9,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:45.928000Z,2025-09-03T14:11:26.706000Z,,2025-09-03T14:11:27.085496Z,161.0,COHFI32D,6705,Yes,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
5efb49177e130c0785b93842,68b823b21cc76e5d87283bc6,68b84bc377a35d4c15cf501f,LCE,True,True,1,0,4.0,65.0,2.0,50.0,Definitely more than one,yes,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6467/comp-result_10124/data.txt,68b84bc377a35d4c15cf501f,5efb49177e130c0785b93842,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:44.312000Z,2025-09-03T14:11:19.147000Z,,2025-09-03T14:11:22.940568Z,155.0,COHFI32D,2545,Yes,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,68b84bc377a35d4c15cf501f,5efb49177e130c0785b93842,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:44.312000Z,2025-09-03T14:11:19.147000Z,,2025-09-03T14:11:22.940568Z,155.0,COHFI32D,2545,Yes,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67197894611a27c0434adff7,68b823b21cc76e5d87283bc6,68b84bd0703c977161d33213,SCE,True,True,1,0,2.0,51.0,2.0,50.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6468/comp-result_10125/data.txt,68b84bd0703c977161d33213,67197894611a27c0434adff7,AWAITING REVIEW,Not Applicable,2025-09-03T14:09:44.699000Z,2025-09-03T14:14:44.064000Z,,2025-09-03T14:14:44.430607Z,300.0,COHFI32D,1909,Yes,51,Female,White,United States,United States,United States,English,No,Full-Time,68b84bd0703c977161d33213,67197894611a27c0434adff7,AWAITING REVIEW,Not Applicable,2025-09-03T14:09:44.699000Z,2025-09-03T14:14:44.064000Z,,2025-09-03T14:14:44.430607Z,300.0,COHFI32D,1909,Yes,51,Female,White,United States,United States,United States,English,No,Full-Time
650864268a31fd9d2b8f84ee,68b823b21cc76e5d87283bc6,68b84c39f51b756cd83464b9,LCE,True,True,1,0,4.0,64.0,4.0,64.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6469/comp-result_10126/data.txt,68b84c39f51b756cd83464b9,650864268a31fd9d2b8f84ee,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:06.852000Z,2025-09-03T14:14:56.941000Z,,2025-09-03T14:14:57.346759Z,291.0,COHFI32D,1882,Yes,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",68b84c39f51b756cd83464b9,650864268a31fd9d2b8f84ee,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:06.852000Z,2025-09-03T14:14:56.941000Z,,2025-09-03T14:14:57.346759Z,291.0,COHFI32D,1882,Yes,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5e230311699ac45b327786dc,68b823b21cc76e5d87283bc6,68b84c291e58a5e8a15fb68f,SCE,True,True,1,0,4.0,61.0,4.0,61.0,Definitely more than one,no,"{""Q0"":""summer""}",,False,[],[],[],"My sound was working since I heard the word 'summer' but I didn't hear anything after that. It's still working now, so I don't know why I didn't hear anything.",/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6470/comp-result_10127/data.txt,68b84c291e58a5e8a15fb68f,5e230311699ac45b327786dc,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:20.314000Z,2025-09-03T14:13:36.252000Z,,2025-09-03T14:13:36.627506Z,196.0,COHFI32D,4948,Yes,69,Female,White,United States,United Kingdom,United Kingdom,English,No,Part-Time,68b84c291e58a5e8a15fb68f,5e230311699ac45b327786dc,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:20.314000Z,2025-09-03T14:13:36.252000Z,,2025-09-03T14:13:36.627506Z,196.0,COHFI32D,4948,Yes,69,Female,White,United States,United Kingdom,United Kingdom,English,No,Part-Time
